"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_4_F_lp_Set_1",1.85400704267669,0,0.333333333333333,470.55007231147,22.3213702340165,1.07281800693693e-06,7
"M_4_F_qp_Set_1",1.87260595417367,0,0,455.238326500282,7.0096244228281,0.00244583177870858,4
"M_4_F_lqp_Set_1",1.87619042161599,0,0,458.316556140478,10.0878540630245,0.00057097380675109,5
"M_5_F_l_Set_1",1.91505969505303,0,0,455.723046125443,7.49434404798944,0.00228591867976541,4
"M_5_F_q_Set_1",1.95728133197412,0,0,450.299979517382,2.07127743992845,0.0367029731578096,4
"M_5_F_p_Set_1",1.85171807225236,0,0.333333333333333,465.019483063501,16.7907809860474,2.60487077120406e-05,4
"M_5_F_lq_Set_1",1.94957356475728,0,0,449.337247622441,1.10854554498735,0.0696609356087587,4
"M_5_F_lp_Set_1",1.84849827887134,0,0.333333333333333,468.187825159976,19.9591230825222,6.394016572998e-06,5
"M_5_F_qp_Set_1",1.84792476625372,0,0.333333333333333,460.399525661592,12.1708235841384,0.000364175023807142,4
"M_5_F_lqp_Set_1",1.85323579734265,0,0.333333333333333,463.334704790998,15.106002713544,9.99151005145637e-05,5
